product_id,product_name,price,quantity_sold,manufacturer,release_date,customer_rating,in_stock,_rescued_data
1,CANNABIS LEAF BEAD CURTAIN,438.65,300,Babblestorm,2013-03-12,3.6,false,null
2,FRENCH STYLE STORAGE JAR JAM,228.78,159,Blogpad,2022-04-27,2.1,true,null
3,GOLD STANDING GNOME,547.13,561,Yozio,2011-08-19,4.5,false,null
4,LARGE CAKE TOWEL PINK SPOTS,850.99,587,Einti,2021-12-21,2.4,true,null
5,MINIATURE ANTIQUE ROSE HOOK IVORY,996.16,135,Zoombeat,2013-06-01,2.1,false,null
6,"FLOWER GLASS GARLD NECKL36""AMETHYST",853.47,735,Browsedrive,2014-12-12,2.3,false,null
7,SCOTTIES CHILDRENS APRON,551.26,517,Bluezoom,2014-02-17,3.4,true,null
8,YELLOW BREAKFAST CUP AND SAUCER,939.52,842,Twimm,2020-09-08,3.4,true,null
9,MAGIC DRAWING SLATE DINOSAUR,119.05,587,Gigaclub,2014-04-25,1.6,true,null
10,6PC WOOD PLATE SET DISPOSABLE,723.33,215,Camido,2017-02-05,1.6,true,null
11,DROP DIAMANTE EARRINGS CRYSTAL,190.79,587,Gabtype,2010-10-11,2.7,true,null
12,SET 10 CARDS WORLD CHILDREN 17067,113.77,415,Devshare,2010-02-15,4.3,true,null
13,ANTIQUE ALL GLASS CANDLESTICK,426.54,59,Mynte,2018-12-18,1.7,true,null
14,CARDHOLDER HOLLY WREATH METAL,724.73,996,Cogibox,2022-03-28,5,true,null
15,6 RIBBONS ELEGANT CHRISTMAS ,244.22,715,Skinder,2017-06-07,2,false,null
16,CLAM SHELL SMALL ,195.45,520,Kwilith,2020-04-05,1.5,true,null
17,VINTAGE EMBOSSED HEART,696.93,60,Rhyloo,2015-05-28,3.6,false,null
18,GLASS APOTHECARY BOTTLE ELIXIR,719.99,129,Centimia,2018-11-08,1.8,true,null
19,PINK PARTY SUNGLASSES,296.54,268,Vidoo,2011-05-15,1.6,false,null
20,WRAP COWBOYS  ,390.13,198,Mynte,2013-10-27,1.8,false,null
21,PAPER LANTERN 9 POINT HOLLY STAR S,663.14,837,Babbleopia,2018-06-22,4.1,true,null
22,SPACEBOY MINI BACKPACK,158.98,46,Kimia,2011-10-15,2.6,false,null
23,SMALL CHOCOLATES PINK BOWL,53.57,173,Dazzlesphere,2022-09-09,2.2,true,null
24,6 RIBBONS EMPIRE  ,44.44,712,Voolith,2016-07-19,1.5,true,null
25,WALL ART CAT AND BIRD ,841.92,297,Kwideo,2014-02-23,4.7,true,null
26,can't find,460.04,643,Pixonyx,2020-11-09,1.7,false,null
